SrNo,District Name,Taluka Name,Gram Panchayat,Taluka Latitude,Taluka Longitude,District Latitude,District Longitude,Month,Max Temp (°C),Min Temp (°C),Avg Temp (°C)
208,AHMADABAD,Bavla,RANESAR,22.8278859,72.3684741,,,,,,
209,AHMADABAD,Dholka,RANODA - SHEKHDI,22.726607,72.4411863,,,,,,
210,AHMADABAD,Daskroi,RANODRA,22.9538235,72.7502756,,,,,,
211,AHMADABAD,Bavla,RASAM,22.8278859,72.3684741,,,,,,
212,AHMADABAD,Dhandhuka,RAYKA,22.3816365,71.9791414,,,,,,
213,AHMADABAD,Dholera,RAYSANGAGADH,22.2495856,72.1959892,,,,,,
214,AHMADABAD,Sanand,RETHAL,23.0238876,72.3851475,,,,,,
215,AHMADABAD,Mandal,RIBDI,23.2883831,71.9178854,,,,,,
216,AHMADABAD,Bavla,ROHIKA,22.8278859,72.3684741,,,,,,
217,AHMADABAD,Dhandhuka,ROJKA,22.3816365,71.9791414,,,,,,
218,AHMADABAD,Detroj-Rampura,RUDATAL 219 AHMADABAD Dholka RUPGADH,23.3291312,72.1639025,,,,,,
220,AHMADABAD,Detroj-Rampura,SADATPURA,23.3291312,72.1639025,,,,,,
221,AHMADABAD,Dholka,SAHIJ,22.726607,72.4411863,,,,,,
222,AHMADABAD,Bavla,SAKODARA,22.8278859,72.3684741,,,,,,
223,AHMADABAD,Dhandhuka,SALASAR,22.3816365,71.9791414,,,,,,
224,AHMADABAD,Bavla,SALJADA,22.8278859,72.3684741,,,,,,
225,AHMADABAD,Sanand,GIBPURA,23.0238876,72.3851475,,,,,,
226,AHMADABAD,Sanand,SANATHAL,23.0238876,72.3851475,,,,,,
227,AHMADABAD,Dholera,SANGASAR,22.2495856,72.1959892,,,,,,
228,AHMADABAD,Detroj-Rampura,SANGPARA,23.3291312,72.1639025,,,,,,
229,AHMADABAD,Bavla,SANKOD,22.8278859,72.3684741,,,,,,
230,AHMADABAD,Dholka,SARAGVALA,22.726607,72.4411863,,,,,,
231,AHMADABAD,Bavla,SARALA,22.8278859,72.3684741,,,,,,
232,AHMADABAD,Dholka,SARANDI,22.726607,72.4411863,,,,,,
233,AHMADABAD,Sanand,SARI,23.0238876,72.3851475,,,,,,
234,AHMADABAD,Viramgam,SARSAVDI,23.1224522,72.0483946,,,,,,
235,AHMADABAD,Dhandhuka,SARWAL,22.3816365,71.9791414,,,,,,
236,AHMADABAD,Dholka,SATHAL,22.726607,72.4411863,,,,,,
237,AHMADABAD,Sanand,SHELA,23.0238876,72.3851475,,,,,,
